SNo,Date,Price,Open,High,Low,Vol.,Change %
466,9/22/2018,0.60776,0.62996,0.64634,0.57481,34710000,-3.52
467,9/23/2018,0.6111,0.60776,0.63258,0.59628,27580000,0.55
468,9/24/2018,0.55768,0.61112,0.61537,0.54168,60630000,-8.74
469,9/25/2018,0.56864,0.55772,0.56942,0.52706,34980000,1.97
470,9/26/2018,0.54823,0.56919,0.57393,0.54377,23140000,-3.59
471,9/27/2018,0.58532,0.54823,0.5987,0.53385,32850000,6.76
472,9/28/2018,0.5717,0.58537,0.59254,0.55666,27510000,-2.33
473,9/29/2018,0.56505,0.57133,0.57357,0.55275,16440000,-1.16
474,9/30/2018,0.56764,0.56505,0.57456,0.55764,19560000,0.46
475,10/1/2018,0.56224,0.56764,0.57964,0.54309,21950000,-0.95
476,10/2/2018,0.56089,0.56176,0.57056,0.55332,19080000,-0.24
477,10/3/2018,0.55377,0.56088,0.56098,0.54327,17920000,-1.27
478,10/4/2018,0.55733,0.55377,0.57599,0.55377,21690000,0.64
479,10/5/2018,0.57741,0.55733,0.58201,0.55287,20260000,3.6
480,10/6/2018,0.5659,0.57741,0.57995,0.56077,16380000,-1.99
481,10/7/2018,0.57531,0.5659,0.57692,0.55989,14980000,1.66
482,10/8/2018,0.60347,0.57531,0.60856,0.57275,27720000,4.89
483,10/9/2018,0.5922,0.60347,0.60866,0.5845,24760000,-1.87
484,10/10/2018,0.58775,0.59221,0.59244,0.56875,22580000,-0.75
485,10/11/2018,0.48148,0.58776,0.58888,0.47807,54330000,-18.08
486,10/12/2018,0.48908,0.48089,0.51031,0.47615,21830000,1.58
487,10/13/2018,0.48961,0.48908,0.50435,0.48809,16460000,0.11
488,10/14/2018,0.48685,0.48961,0.50371,0.48416,16910000,-0.56
489,10/15/2018,0.51331,0.48685,0.5535,0.47803,47420000,5.44
490,10/16/2018,0.51461,0.51381,0.52015,0.50667,16580000,0.25
491,10/17/2018,0.52394,0.51461,0.53015,0.50833,20360000,1.81
492,10/18/2018,0.50238,0.52394,0.53702,0.49674,23970000,-4.11
493,10/19/2018,0.49314,0.50238,0.50586,0.4912,15900000,-1.84
494,10/20/2018,0.50246,0.49314,0.51148,0.49281,19310000,1.89
495,10/21/2018,0.49855,0.50191,0.51201,0.49523,18600000,-0.78
496,10/22/2018,0.49872,0.49855,0.50488,0.49041,12890000,0.03
497,10/23/2018,0.49861,0.49872,0.50289,0.48994,10830000,-0.02
498,10/24/2018,0.49666,0.49861,0.50329,0.4956,5920000,-0.39
499,10/25/2018,0.49786,0.49666,0.5043,0.49208,6760000,0.24
500,10/26/2018,0.4943,0.49786,0.50072,0.49218,6420000,-0.71
501,10/27/2018,0.47934,0.4943,0.49599,0.47638,6230000,-3.03
502,10/28/2018,0.48198,0.47934,0.48298,0.47632,5490000,0.55
503,10/29/2018,0.44926,0.48198,0.48311,0.44727,12330000,-6.79
504,10/30/2018,0.4517,0.44926,0.46125,0.44886,6340000,0.54
505,10/31/2018,0.46789,0.45156,0.47026,0.44106,10350000,3.58
506,11/1/2018,0.47634,0.46789,0.48046,0.46397,6570000,1.81
507,11/2/2018,0.48621,0.47634,0.492,0.47272,10380000,2.07
508,11/3/2018,0.47854,0.4862,0.48656,0.47357,5090000,-1.58
509,11/4/2018,0.50069,0.47849,0.51266,0.47198,14050000,4.63
510,11/5/2018,0.5061,0.50069,0.50647,0.49428,7230000,1.08
511,11/6/2018,0.51737,0.5061,0.51869,0.50093,11870000,2.23
512,11/7/2018,0.50536,0.51737,0.52331,0.49816,12650000,-2.32
513,11/8/2018,0.4843,0.50536,0.50721,0.48016,13190000,-4.17
514,11/9/2018,0.47852,0.4843,0.49347,0.47332,9460000,-1.19
515,11/10/2018,0.48553,0.47852,0.49697,0.47402,6540000,1.46
516,11/11/2018,0.48466,0.48553,0.48761,0.47709,3650000,-0.18
517,11/12/2018,0.49883,0.48465,0.50557,0.48401,10370000,2.92
518,11/13/2018,0.49982,0.49883,0.50562,0.4932,11100000,0.2
519,11/14/2018,0.43926,0.49982,0.50237,0.36843,43390000,-12.12
520,11/15/2018,0.42737,0.43926,0.444,0.39422,31000000,-2.71
521,11/16/2018,0.41414,0.42737,0.42912,0.4076,9850000,-3.1
522,11/17/2018,0.41127,0.41414,0.41987,0.40521,6660000,-0.69
523,11/18/2018,0.41124,0.41127,0.41975,0.40978,6270000,-0.01
524,11/19/2018,0.35518,0.41124,0.41199,0.34664,31840000,-13.63
525,11/20/2018,0.30547,0.35518,0.36604,0.282,57820000,-14
526,11/21/2018,0.33224,0.30544,0.33566,0.29834,26110000,8.76
527,11/22/2018,0.30616,0.33224,0.33878,0.30616,16590000,-7.85
528,11/23/2018,0.32127,0.30616,0.32446,0.29495,19870000,4.93
529,11/24/2018,0.28319,0.32127,0.3294,0.26425,26630000,-11.85
530,11/25/2018,0.29077,0.28319,0.29684,0.2511,40850000,2.67
531,11/26/2018,0.2764,0.29077,0.30001,0.25818,31130000,-4.94
532,11/27/2018,0.273,0.2764,0.27854,0.2581,16480000,-1.23
533,11/28/2018,0.30083,0.27302,0.30978,0.27302,26670000,10.19
534,11/29/2018,0.3062,0.30075,0.31423,0.28916,18970000,1.79
535,11/30/2018,0.28646,0.3062,0.30725,0.27745,16570000,-6.45
536,12/1/2018,0.29856,0.28646,0.30278,0.2813,9450000,4.22
537,12/2/2018,0.29292,0.29856,0.31039,0.28972,10560000,-1.89
538,12/3/2018,0.27151,0.29291,0.29595,0.26477,14130000,-7.31
539,12/4/2018,0.2772,0.27139,0.28758,0.26238,11590000,2.1
540,12/5/2018,0.2553,0.2772,0.27834,0.25148,11840000,-7.9
541,12/6/2018,0.23087,0.2553,0.26571,0.22598,18670000,-9.57
542,12/7/2018,0.23404,0.23087,0.24903,0.20727,30960000,1.37
543,12/8/2018,0.22552,0.23404,0.24255,0.21481,13700000,-3.64
544,12/9/2018,0.23672,0.22552,0.24813,0.22414,12340000,4.97
545,12/10/2018,0.23132,0.23672,0.24063,0.22585,8490000,-2.28
546,12/11/2018,0.22414,0.23132,0.23247,0.21874,8410000,-3.11
547,12/12/2018,0.23282,0.22305,0.23648,0.22269,6750000,3.88
548,12/13/2018,0.22011,0.23283,0.23322,0.21397,9290000,-5.46
549,12/14/2018,0.214,0.22033,0.22285,0.20821,9630000,-2.78
550,12/15/2018,0.22186,0.214,0.22462,0.20755,11690000,3.67
551,12/16/2018,0.22361,0.22186,0.23417,0.221,9050000,0.79
552,12/17/2018,0.25758,0.22361,0.26442,0.2235,21930000,15.19
553,12/18/2018,0.29221,0.25758,0.29325,0.25001,21790000,13.45
554,12/19/2018,0.27933,0.29222,0.31344,0.27932,37910000,-4.41
555,12/20/2018,0.34902,0.27933,0.35216,0.27782,43250000,24.95
556,12/21/2018,0.32545,0.34902,0.35594,0.31864,33030000,-6.75
557,12/22/2018,0.34718,0.32545,0.349,0.32545,14640000,6.68
558,12/23/2018,0.36542,0.34717,0.38756,0.3435,27660000,5.26
559,12/24/2018,0.35778,0.36542,0.39418,0.35277,25480000,-2.09
560,12/25/2018,0.33365,0.35741,0.35858,0.31522,24100000,-6.74
561,12/26/2018,0.33253,0.33367,0.34992,0.31778,15490000,-0.34
562,12/27/2018,0.31686,0.33253,0.33795,0.31372,13300000,-4.71
563,12/28/2018,0.36723,0.31743,0.36862,0.31452,22380000,15.9
564,12/29/2018,0.35108,0.36723,0.37333,0.34791,14380000,-4.4
565,12/30/2018,0.36041,0.35105,0.36328,0.34413,10440000,2.66
566,12/31/2018,0.35598,0.36046,0.37192,0.34616,11290000,-1.23
567,1/1/2019,0.36995,0.35598,0.37037,0.35036,7350000,3.92
568,1/2/2019,0.39404,0.36995,0.39864,0.36443,17100000,6.51
569,1/3/2019,0.37893,0.39404,0.39868,0.37628,11340000,-3.84
570,1/4/2019,0.3768,0.37893,0.38925,0.36434,11460000,-0.56
571,1/5/2019,0.36895,0.37668,0.38553,0.36858,7100000,-2.08
572,1/6/2019,0.38194,0.36895,0.38863,0.3561,13640000,3.52
573,1/7/2019,0.36886,0.38194,0.38509,0.36379,6510000,-3.42
574,1/8/2019,0.36282,0.36891,0.37415,0.35427,10000000,-1.64
575,1/9/2019,0.3677,0.36282,0.37287,0.36127,6510000,1.34
576,1/10/2019,0.30962,0.3677,0.37143,0.29484,28050000,-15.8
577,1/11/2019,0.31131,0.30962,0.31896,0.30549,9970000,0.55
578,1/12/2019,0.30863,0.31131,0.31439,0.29906,6860000,-0.86
579,1/13/2019,0.28461,0.30863,0.31095,0.28255,9670000,-7.78
580,1/14/2019,0.30602,0.28461,0.31131,0.27333,15830000,7.52
581,1/15/2019,0.29698,0.30594,0.31003,0.2821,12270000,-2.95
582,1/16/2019,0.29688,0.29698,0.3071,0.29257,11240000,-0.03
583,1/17/2019,0.3105,0.29688,0.32005,0.29224,11390000,4.59
584,1/18/2019,0.30548,0.3105,0.31414,0.30409,7940000,-1.62
585,1/19/2019,0.31364,0.30548,0.32671,0.30429,9970000,2.67
586,1/20/2019,0.2964,0.31336,0.31776,0.29147,9850000,-5.5
587,1/21/2019,0.30229,0.2964,0.30967,0.2964,6720000,1.99
588,1/22/2019,0.30624,0.30229,0.31164,0.28692,10530000,1.31
589,1/23/2019,0.29595,0.30625,0.30769,0.29231,7620000,-3.36
590,1/24/2019,0.29348,0.29595,0.29678,0.28819,8890000,-0.83
591,1/25/2019,0.2872,0.29348,0.29405,0.28465,6440000,-2.14
592,1/26/2019,0.28251,0.2872,0.29184,0.28231,7430000,-1.63
593,1/27/2019,0.27079,0.28241,0.28516,0.26492,12380000,-4.15
594,1/28/2019,0.25657,0.27077,0.27169,0.24581,19890000,-5.25
595,1/29/2019,0.25413,0.25657,0.26092,0.24772,9990000,-0.95
596,1/30/2019,0.26398,0.25413,0.26677,0.25245,9020000,3.88
597,1/31/2019,0.25777,0.26398,0.27576,0.25432,14770000,-2.35
598,2/1/2019,0.2584,0.25784,0.25999,0.2495,11860000,0.25
599,2/2/2019,0.26391,0.2584,0.26434,0.24893,11730000,2.13
600,2/3/2019,0.2539,0.26391,0.26556,0.25088,7090000,-3.79
601,2/4/2019,0.25685,0.2539,0.26107,0.25271,6930000,1.16
602,2/5/2019,0.25556,0.25682,0.25815,0.25356,4650000,-0.5
603,2/6/2019,0.24383,0.25556,0.25704,0.24093,13060000,-4.59
604,2/7/2019,0.25538,0.24383,0.26044,0.2436,15340000,4.74
605,2/8/2019,0.2811,0.25546,0.28692,0.25202,27360000,10.07
606,2/9/2019,0.27891,0.2811,0.28584,0.27339,9860000,-0.78
607,2/10/2019,0.28478,0.27891,0.292,0.27408,14490000,2.11
608,2/11/2019,0.2694,0.28478,0.28479,0.26873,12190000,-5.4
609,2/12/2019,0.27567,0.2694,0.27843,0.26475,8780000,2.33
610,2/13/2019,0.27223,0.27567,0.27902,0.26816,6930000,-1.25
611,2/14/2019,0.26836,0.27221,0.27287,0.26463,6880000,-1.42
612,2/15/2019,0.27364,0.26836,0.27983,0.26704,8300000,1.97
613,2/16/2019,0.27601,0.27364,0.27921,0.27213,6250000,0.87
614,2/17/2019,0.28019,0.27601,0.28871,0.27401,11220000,1.51
615,2/18/2019,0.30725,0.28016,0.31085,0.27647,25680000,9.66
616,2/19/2019,0.30796,0.30725,0.31992,0.29782,25680000,0.23
617,2/20/2019,0.31666,0.30796,0.31743,0.303,10890000,2.83
618,2/21/2019,0.30114,0.31666,0.3169,0.29799,10740000,-4.9
619,2/22/2019,0.30434,0.30114,0.30767,0.30079,9490000,1.06
620,2/23/2019,0.32248,0.30434,0.32463,0.30185,15680000,5.96
621,2/24/2019,0.28264,0.32245,0.32975,0.27909,30400000,-12.35
622,2/25/2019,0.28804,0.28264,0.29279,0.2786,11870000,1.91
623,2/26/2019,0.28488,0.28804,0.29044,0.28288,8110000,-1.09
624,2/27/2019,0.28744,0.28488,0.29008,0.27911,8830000,0.9
625,2/28/2019,0.28608,0.28744,0.29059,0.28403,7730000,-0.47
626,3/1/2019,0.29699,0.28608,0.30395,0.28603,12080000,3.81
627,3/2/2019,0.29377,0.29699,0.29801,0.28651,7520000,-1.08
628,3/3/2019,0.28721,0.29377,0.2971,0.28315,7770000,-2.24
629,3/4/2019,0.27464,0.28721,0.28723,0.26863,12240000,-4.38
630,3/5/2019,0.28312,0.27464,0.28762,0.27243,12710000,3.09
631,3/6/2019,0.28176,0.28312,0.28421,0.27053,13250000,-0.48
632,3/7/2019,0.28038,0.28176,0.28466,0.27247,11180000,-0.49
633,3/8/2019,0.27827,0.28038,0.28504,0.27311,12310000,-0.75
